"cod_ibge";"ano";"nivel_escolar";"rede";"matriculas"
3500105;2019;"Creche";"Estadual";0
3500105;2019;"Creche";"Municipal";613
3500105;2019;"Creche";"Particular";162
3500204;2019;"Creche";"Estadual";0
3500204;2019;"Creche";"Municipal";0
3500204;2019;"Creche";"Particular";113
3500303;2019;"Creche";"Estadual";0
3500303;2019;"Creche";"Municipal";513
3500303;2019;"Creche";"Particular";123
3500402;2019;"Creche";"Estadual";0
3500402;2019;"Creche";"Municipal";134
3500402;2019;"Creche";"Particular";0
3500501;2019;"Creche";"Estadual";0
3500501;2019;"Creche";"Municipal";453
3500501;2019;"Creche";"Particular";87
3500550;2019;"Creche";"Estadual";0
3500550;2019;"Creche";"Municipal";176
3500550;2019;"Creche";"Particular";0
3500600;2019;"Creche";"Estadual";0
3500600;2019;"Creche";"Municipal";83
3500600;2019;"Creche";"Particular";0
3500709;2019;"Creche";"Estadual";0
3500709;2019;"Creche";"Municipal";944
3500709;2019;"Creche";"Particular";115
3500758;2019;"Creche";"Estadual";0
3500758;2019;"Creche";"Municipal";110
3500758;2019;"Creche";"Particular";0
3500808;2019;"Creche";"Estadual";0
3500808;2019;"Creche";"Municipal";126
3500808;2019;"Creche";"Particular";0
3500907;2019;"Creche";"Estadual";0
3500907;2019;"Creche";"Municipal";85
3500907;2019;"Creche";"Particular";0
3501004;2019;"Creche";"Estadual";0
3501004;2019;"Creche";"Municipal";359
3501004;2019;"Creche";"Particular";45
3501103;2019;"Creche";"Estadual";0
3501103;2019;"Creche";"Municipal";39
3501103;2019;"Creche";"Particular";0
3501152;2019;"Creche";"Estadual";0
3501152;2019;"Creche";"Municipal";339
3501152;2019;"Creche";"Particular";0
3501202;2019;"Creche";"Estadual";0
3501202;2019;"Creche";"Municipal";78
3501202;2019;"Creche";"Particular";0
3501301;2019;"Creche";"Estadual";0
3501301;2019;"Creche";"Municipal";287
3501301;2019;"Creche";"Particular";209
3501400;2019;"Creche";"Estadual";0
3501400;2019;"Creche";"Municipal";0
3501400;2019;"Creche";"Particular";85
3501509;2019;"Creche";"Estadual";0
3501509;2019;"Creche";"Municipal";111
3501509;2019;"Creche";"Particular";0
3501608;2019;"Creche";"Estadual";0
3501608;2019;"Creche";"Municipal";2140
3501608;2019;"Creche";"Particular";3283
3501707;2019;"Creche";"Estadual";0
3501707;2019;"Creche";"Municipal";1109
3501707;2019;"Creche";"Particular";54
3501806;2019;"Creche";"Estadual";0
3501806;2019;"Creche";"Municipal";116
3501806;2019;"Creche";"Particular";0
3501905;2019;"Creche";"Estadual";0
3501905;2019;"Creche";"Municipal";1231
3501905;2019;"Creche";"Particular";427
3502002;2019;"Creche";"Estadual";0
3502002;2019;"Creche";"Municipal";119
3502002;2019;"Creche";"Particular";0
3502101;2019;"Creche";"Estadual";0
3502101;2019;"Creche";"Municipal";736
3502101;2019;"Creche";"Particular";446
3502200;2019;"Creche";"Estadual";0
3502200;2019;"Creche";"Municipal";465
3502200;2019;"Creche";"Particular";32
3502309;2019;"Creche";"Estadual";0
3502309;2019;"Creche";"Municipal";153
3502309;2019;"Creche";"Particular";0
3502408;2019;"Creche";"Estadual";0
3502408;2019;"Creche";"Municipal";121
3502408;2019;"Creche";"Particular";0
3502507;2019;"Creche";"Estadual";0
3502507;2019;"Creche";"Municipal";661
3502507;2019;"Creche";"Particular";63
