Localidade;Rede;Taxa de Aprovação - 2015;Taxa de Aprovação - 2017;Taxa de Aprovação - 2019;SAEB - 2015;SAEB - 2017;SAEB - 2019;IDEB 2015;IDEB 2017;IDEB 2019;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Estado São Paulo;Total;0,98;0,98;0,98;6,54;6,77;6,83;6,4;6,6;6,7;6,0;6,3;6,5;6,7;1º ao 5º ano;
Estado São Paulo;Pública;0,97;0,98;0,98;6,38;6,60;6,62;6,2;6,5;6,5;5,8;6,1;6,3;6,6;1º ao 5º ano;
Estado São Paulo;Privada;0,99;0,99;0,99;7,22;7,51;7,67;7,1;7,4;7,6;7,5;7,6;7,8;7,9;1º ao 5º ano;
Estado São Paulo;Estadual;0,98;0,99;0,99;6,47;6,63;6,66;6,4;6,5;6,6;5,8;6,1;6,3;6,6;1º ao 5º ano;
Estado São Paulo;Total;0,94;0,94;0,96;5,33;5,58;5,67;5,0;5,3;5,5;5,4;5,6;5,9;6,1;6º ao 9º ano;
Estado São Paulo;Pública;0,93;0,93;0,96;5,06;5,23;5,41;4,7;4,9;5,2;5,1;5,3;5,6;5,8;6º ao 9º ano;
Estado São Paulo;Privada;0,97;0,98;0,98;6,70;6,93;6,81;6,5;6,8;6,7;7,2;7,4;7,5;7,7;6º ao 9º ano;
Estado São Paulo;Estadual;0,93;0,94;0,96;5,01;5,17;5,39;4,7;4,8;5,2;5,0;5,3;5,5;5,8;6º ao 9º ano;
Estado São Paulo;Total;0,90;0,90;0,94;4,64;4,64;4,97;4,2;4,2;4,6;4,5;5,0;5,2;5,4;Ensino médio;
Estado São Paulo;Privada;0,97;0,97;0,98;5,78;6,07;6,25;5,6;5,9;6,1;6,5;6,8;7,0;7,2;Ensino médio;
Estado São Paulo;Pública;0,89;0,87;0,91;4,41;4,37;4,71;3,9;3,8;4,3;4,2;4,6;4,9;5,1;Ensino médio;
Adamantina;Municipal;0,99;0,99;0,98;6,71;6,94;6,93;6,6;6,9;6,8;6,2;6,4;6,6;6,8;1º ao 5º ano;3500105
Adamantina;Pública;0,99;0,99;0,98;6,71;6,94;6,93;6,6;6,9;6,8;6,2;6,4;6,6;6,8;1º ao 5º ano;3500105
Adolfo;Municipal;0,97;0,95;0,96;6,41;6,85;6,72;6,2;6,5;6,4;6,0;6,3;6,5;6,7;1º ao 5º ano;3500204
Adolfo;Pública;0,97;0,95;0,96;6,41;6,85;6,72;6,2;6,5;6,4;6,0;6,3;6,5;6,7;1º ao 5º ano;3500204
Aguaí;Estadual;1,00;1,00;0,99;6,70;7,01;6,31;6,7;7,0;6,3;6,5;6,7;7,0;7,2;1º ao 5º ano;3500303
Aguaí;Municipal;0,87;0,95;0,96;5,93;6,45;6,42;5,2;6,1;6,2;5,4;5,7;5,9;6,2;1º ao 5º ano;3500303
Aguaí;Pública;0,89;0,96;0,96;6,07;6,54;6,40;5,4;6,3;6,2;5,9;6,2;6,4;6,7;1º ao 5º ano;3500303
Águas da Prata;Municipal;0,89;0,98;0,96;6,56;6,65;6,93;5,8;6,5;6,6;5,9;6,1;6,4;6,6;1º ao 5º ano;3500402
Águas da Prata;Pública;0,89;0,98;0,96;6,56;6,65;6,93;5,8;6,5;6,6;5,9;6,1;6,4;6,6;1º ao 5º ano;3500402
Águas de Lindóia;Estadual;0,96;0,96;0,97;6,99;8,05;7,00;6,7;7,8;6,8;6,4;6,6;6,8;7,1;1º ao 5º ano;3500501
Águas de Lindóia;Municipal;0,95;0,95;0,91;6,43;7,18;7,11;6,1;6,8;6,5;5,8;6,0;6,3;6,5;1º ao 5º ano;3500501
