Localidade;Rede;IDEB 2015;IDEB 2017;IDEB 2019;IDEB 2021;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Estado São Paulo;Total;6,4;6,6;6,7;6,3;6,0;6,3;6,5;6,7;1º ao 5º ano;
Estado São Paulo;Pública;6,2;6,5;6,5;6,1;5,8;6,1;6,3;6,6;1º ao 5º ano;
Estado São Paulo;Privada;7,1;7,4;7,6;7,5;7,5;7,6;7,8;7,9;1º ao 5º ano;
Estado São Paulo;Estadual;6,4;6,5;6,6;6,1;5,8;6,1;6,3;6,6;1º ao 5º ano;
Estado São Paulo;Total;5,0;5,3;5,5;5,5;5,4;5,6;5,9;6,1;6º ao 9º ano;
Estado São Paulo;Pública;4,7;4,9;5,2;5,3;5,1;5,3;5,6;5,8;6º ao 9º ano;
Estado São Paulo;Privada;6,5;6,8;6,7;6,5;7,2;7,4;7,5;7,7;6º ao 9º ano;
Estado São Paulo;Estadual;4,7;4,8;5,2;5,3;5,0;5,3;5,5;5,8;6º ao 9º ano;
Estado São Paulo;Total;4,2;4,2;4,6;4,7;4,5;5,0;5,2;5,4;Ensino médio;
Estado São Paulo;Privada;5,6;5,9;6,1;6,2;6,5;6,8;7,0;7,2;Ensino médio;
Estado São Paulo;Pública;3,9;3,8;4,3;4,4;4,2;4,6;4,9;5,1;Ensino médio;
Adamantina;Municipal;6,6;6,9;6,8;6,3;6,2;6,4;6,6;6,8;1º ao 5º ano;3500105
Adamantina;Pública;6,6;6,9;6,8;6,3;6,2;6,4;6,6;6,8;1º ao 5º ano;3500105
Adolfo;Municipal;6,2;6,5;6,4;6,3;6,0;6,3;6,5;6,7;1º ao 5º ano;3500204
Adolfo;Pública;6,2;6,5;6,4;6,3;6,0;6,3;6,5;6,7;1º ao 5º ano;3500204
Aguaí;Estadual;6,7;7,0;6,3;5,7;6,5;6,7;7,0;7,2;1º ao 5º ano;3500303
Aguaí;Municipal;5,2;6,1;6,2;5,8;5,4;5,7;5,9;6,2;1º ao 5º ano;3500303
Aguaí;Pública;5,4;6,3;6,2;5,8;5,9;6,2;6,4;6,7;1º ao 5º ano;3500303
Águas da Prata;Municipal;5,8;6,5;6,6;6,5;5,9;6,1;6,4;6,6;1º ao 5º ano;3500402
Águas da Prata;Pública;5,8;6,5;6,6;6,5;5,9;6,1;6,4;6,6;1º ao 5º ano;3500402
Águas de Lindóia;Estadual;6,7;7,8;6,8;6,1;6,4;6,6;6,8;7,1;1º ao 5º ano;3500501
Águas de Lindóia;Municipal;6,1;6,8;6,5;6,6;5,8;6,0;6,3;6,5;1º ao 5º ano;3500501
Águas de Lindóia;Pública;6,2;7,0;6,5;6,5;6,2;6,4;6,7;6,9;1º ao 5º ano;3500501
Águas de Santa Bárbara;Municipal;6,7;6,9;6,9;6,2;6,4;6,6;6,9;7,1;1º ao 5º ano;3500550
Águas de Santa Bárbara;Pública;6,7;6,9;6,9;6,2;6,4;6,6;6,9;7,1;1º ao 5º ano;3500550
Águas de São Pedro;Municipal;7,0;7,4;7,4;6,9;6,1;6,3;6,6;6,8;1º ao 5º ano;3500600
Águas de São Pedro;Pública;7,0;7,4;7,4;6,9;6,1;6,3;6,6;6,8;1º ao 5º ano;3500600
Agudos;Estadual;;;;;5,0;5,3;5,6;5,9;1º ao 5º ano;3500709
Agudos;Municipal;6,2;6,5;6,5;6,1;5,8;6,1;6,3;6,6;1º ao 5º ano;3500709
Agudos;Pública;6,2;6,5;6,5;6,1;5,6;5,9;6,1;6,4;1º ao 5º ano;3500709
Alambari;Municipal;6,2;6,8;6,5;5,6;5,6;5,9;6,1;6,4;1º ao 5º ano;3500758
