cod_ibge;municipio;ano;de_00a03anos;de_04e05anos;de_06a10anos;de_11a14anos;de_15a17anos;populacao_total;ate17anos;demais_idades;partic_ate17anos
3500105;Adamantina;2000;1.683;929;2.639;2.414;1.952;33.484;9.617;23.867;28,72
3500204;Adolfo;2000;183;102;319;314;230;3.680;1.148;2.532;31,2
3500303;Aguaí;2000;1.925;1.030;2.622;2.125;1.730;28.145;9.432;18.713;33,51
3500402;Águas da Prata;2000;352;215;591;509;419;7.127;2.086;5.041;29,27
3500501;Águas de Lindóia;2000;1.008;507;1.354;1.196;924;16.145;4.989;11.156;30,9
3500550;Águas de Santa Bárbara;2000;389;183;489;416;278;5.210;1.755;3.455;33,69
3500600;Águas de São Pedro;2000;66;53;129;100;106;1.881;454;1.427;24,14
3500709;Agudos;2000;2.333;1.204;3.188;2.719;2.082;32.459;11.526;20.933;35,51
3500758;Alambari;2000;283;130;352;321;234;3.647;1.320;2.327;36,19
3500808;Alfredo Marcondes;2000;206;111;288;241;195;3.695;1.041;2.654;28,17
3500907;Altair;2000;264;136;335;265;211;3.527;1.211;2.316;34,34
3501004;Altinópolis;2000;1.031;514;1.365;1.198;939;15.463;5.047;10.416;32,64
3501103;Alto Alegre;2000;207;117;342;309;229;4.266;1.204;3.062;28,22
3501152;Alumínio;2000;1.170;617;1.530;1.190;931;15.237;5.438;9.799;35,69
3501202;Álvares Florence;2000;222;107;312;306;231;4.322;1.178;3.144;27,26
3501301;Álvares Machado;2000;1.596;844;2.163;1.733;1.285;22.622;7.621;15.001;33,69
3501400;Álvaro de Carvalho;2000;263;117;313;283;201;4.099;1.177;2.922;28,71
3501509;Alvinlândia;2000;218;98;254;230;178;2.834;978;1.856;34,51
3501608;Americana;2000;10.243;5.419;14.578;12.756;10.281;182.300;53.277;129.023;29,22
3501707;Américo Brasiliense;2000;2.173;1.077;2.761;2.301;1.730;28.196;10.042;18.154;35,61
3501806;Américo de Campos;2000;311;154;432;407;321;5.594;1.625;3.969;29,05
3501905;Amparo;2000;3.496;1.858;5.017;4.373;3.490;60.305;18.234;42.071;30,24
3502002;Analândia;2000;213;131;348;278;230;3.576;1.200;2.376;33,56
3502101;Andradina;2000;3.196;1.697;4.550;3.904;3.005;55.134;16.352;38.782;29,66
3502200;Angatuba;2000;1.285;708;1.877;1.531;1.134;19.276;6.535;12.741;33,9
3502309;Anhembi;2000;359;159;423;381;255;4.524;1.577;2.947;34,86
3502408;Anhumas;2000;235;109;299;274;211;3.409;1.128;2.281;33,09
3502507;Aparecida;2000;2.160;1.177;3.123;2.670;2.193;34.888;11.323;23.565;32,46
3502606;Aparecida d'Oeste;2000;277;145;394;346;269;4.936;1.431;3.505;28,99
3502705;Apiaí;2000;2.534;1.214;3.042;2.492;1.882;27.153;11.164;15.989;41,12
3502754;Araçariguama;2000;912;494;1.215;913;683;11.104;4.217;6.887;37,98
3502804;Araçatuba;2000;9.819;4.987;13.242;11.671;9.483;169.087;49.202;119.885;29,1
3502903;Araçoiaba da Serra;2000;1.404;671;1.793;1.576;1.154;19.758;6.598;13.160;33,39
3503000;Aramina;2000;273;147;417;373;278;4.756;1.488;3.268;31,29
3503109;Arandu;2000;453;241;643;539;397;6.060;2.273;3.787;37,51
3503158;Arapeí;2000;184;94;254;224;160;2.615;916;1.699;35,03
3503208;Araraquara;2000;9.831;5.288;14.347;12.668;10.324;182.240;52.458;129.782;28,79
3503307;Araras;2000;6.430;3.341;8.970;7.868;6.295;104.024;32.904;71.120;31,63
3503356;Arco-Íris;2000;118;59;187;185;135;2.167;684;1.483;31,56
3503406;Arealva;2000;427;220;572;483;386;7.240;2.088;5.152;28,84
3503505;Areias;2000;302;146;371;309;218;3.597;1.346;2.251;37,42
3503604;Areiópolis;2000;890;426;1.115;941;655;10.293;4.027;6.266;39,12
3503703;Ariranha;2000;447;222;622;564;384;7.460;2.239;5.221;30,01
3503802;Artur Nogueira;2000;2.455;1.216;3.056;2.554;2.097;32.965;11.378;21.587;34,52
3503901;Arujá;2000;4.861;2.316;5.872;4.957;3.839;58.933;21.845;37.088;37,07
3503950;Aspásia;2000;105;58;154;127;104;1.864;548;1.316;29,4
3504008;Assis;2000;5.081;2.598;6.984;6.165;4.844;87.135;25.672;61.463;29,46
3504107;Atibaia;2000;7.646;3.695;9.820;8.752;6.888;111.033;36.801;74.232;33,14
3504206;Auriflama;2000;691;430;1.205;1.013;760;13.506;4.099;9.407;30,35
3504305;Avaí;2000;314;175;470;384;263;4.597;1.606;2.991;34,94
3504404;Avanhandava;2000;669;361;910;711;527;8.820;3.178;5.642;36,03
3504503;Avaré;2000;5.053;2.520;6.683;5.833;4.498;76.312;24.587;51.725;32,22
3504602;Bady Bassitt;2000;827;382;949;788;587;11.475;3.533;7.942;30,79
3504701;Balbinos;2000;69;37;124;121;80;1.312;431;881;32,85
3504800;Bálsamo;2000;384;204;554;489;393;7.334;2.024;5.310;27,6
